q|p|p_root|row|col
2|11|a|[0 1 2 4 9]|[0 1 2 4 7]
2|11|a|[0 1 2 4 9]|[0 1 2 6 9]
2|11|a|[0 1 3 5 6]|[0 1 2 4 7]
2|11|a|[0 1 3 5 6]|[0 1 2 6 9]
2|11|a|[0 1 2 3 7]|[0 1 2 4 7]
2|11|a|[0 1 2 3 7]|[0 1 2 6 9]
2|11|a|[0 1 2 4 7]|[0 1 2 4 9]
2|11|a|[0 1 2 4 7]|[0 1 3 5 6]
2|11|a|[0 1 2 4 7]|[0 1 2 3 7]
2|11|a|[0 1 2 4 7]|[0 1 2 5 8]
2|11|a|[0 1 2 4 7]|[0 1 4 6 8]
2|11|a|[0 1 2 6 9]|[0 1 2 3 7]
2|11|a|[0 1 2 6 9]|[0 1 2 5 8]
2|11|a|[0 1 2 6 9]|[0 1 4 6 8]
2|11|a|[0 1 2 6 9]|[0 1 2 4 9]
2|11|a|[0 1 2 6 9]|[0 1 3 5 6]
2|11|a|[0 1 2 5 8]|[0 1 2 4 7]
2|11|a|[0 1 2 5 8]|[0 1 2 6 9]
2|11|a|[0 1 4 6 8]|[0 1 2 4 7]
2|11|a|[0 1 4 6 8]|[0 1 2 6 9]
2|11|a||
